cp,n_estab,empleo,resiliencia,indicadoras
11460,270,1579,0.953,0
11470,376,2119,0.858,0
11480,127,1239,0.947,0
11489,14,183,0.765,0
11490,213,1977,0.911,0
11500,390,8038,0.812,0
11510,466,19982,0.809,0
11511,1,3,-0.0,0
11520,1102,41674,0.868,0
11529,288,13346,0.878,0
11530,373,7284,0.725,0
11540,534,10608,0.852,0
11550,622,12470,0.804,1
11560,1487,40753,0.788,0
11569,1,20,-0.0,0
11570,255,6043,0.769,0
11571,1,20,-0.0,0
11579,7,435,0.574,0
11580,297,3802,0.754,0
11590,912,26267,0.793,0
11591,1,20,-0.0,0
11600,53,5397,0.541,0
11610,35,2923,0.644,0
11619,2,6,-0.0,0
11629,1,8,-0.0,0
11650,413,7206,0.892,0
11700,596,10978,0.739,0
11730,15,67,0.891,0
11780,8,24,0.953,0
11800,1480,16203,0.852,0
11801,1,75,-0.0,0
11810,324,2836,0.849,0
11820,119,2036,0.881,0
11830,173,2397,0.91,0
11838,7,43,0.493,0
11840,169,2421,0.88,0
11850,1398,13486,0.815,0
11860,121,2893,0.829,0
11870,1231,8964,0.809,0
11900,1,3,-0.0,0
11910,34,1659,0.738,0
11920,1,175,-0.0,0
11930,10,64,0.5,0
11950,136,4062,0.696,0
12000,1675,8278,0.813,0
12001,1,8,-0.0,0
12005,15,222,0.728,0
12070,1,3,-0.0,0
12080,64,285,0.83,0
12090,1,3,-0.0,0
12100,2039,8165,0.793,0
12110,11,70,0.746,0
12114,1,8,-0.0,0
12115,6,190,0.73,0
12132,1,400,-0.0,0
12200,681,3068,0.842,0
12240,3,9,0.459,0
12250,246,895,0.777,0
12270,14,52,0.646,0
12280,1,400,-0.0,0
12300,636,2375,0.715,0
12322,1,20,-0.0,0
12345,15,170,0.761,0
12400,897,3286,0.76,0
12429,1,8,-0.0,0
12460,9,61,0.252,0
12500,188,730,0.73,0
12600,152,671,0.819,0
12700,458,3235,0.797,0
12800,73,770,0.785,0
12900,411,1808,0.786,0
12910,1,3,-0.0,0
12940,12,36,0.742,0
13000,257,1335,0.831,0
13010,396,2099,0.836,0
13011,1,20,-0.0,0
13020,365,1962,0.852,0
13030,49,174,0.836,0
13040,292,2552,0.792,0
13050,169,904,0.807,0
13060,80,390,0.798,0
13070,320,2104,0.766,0
13080,212,1036,0.763,0
13090,191,765,0.762,0
13093,166,895,0.811,0
13094,52,327,0.73,0
13099,62,1037,0.744,0
13100,123,1525,0.78,0
13110,14,47,0.574,0
13116,5,20,0.685,0
13120,255,1139,0.842,0
13150,186,708,0.795,0
13180,97,525,0.856,0
13200,1273,7691,0.887,0
13210,527,6495,0.919,0
13219,385,2064,0.838,0
13220,562,3001,0.869,0
13221,1,20,-0.0,0
13230,245,1461,0.831,0
13240,1,3,-0.0,0
13250,103,1022,0.861,0
13260,34,274,0.855,0
13266,3,406,0.459,0
13270,991,4871,0.868,0
13272,1,3,-0.0,0
13273,111,710,0.789,0
13278,130,587,0.869,0
13280,475,1733,0.861,0
13300,1104,6345,0.848,0
13310,594,2373,0.836,0
13316,9,27,0.918,0
13317,9,27,0.676,0
13319,563,2068,0.842,0
13320,123,423,0.802,0
13340,28,106,0.873,0
13360,1338,4816,0.826,0
13363,6,18,-0.0,0
13365,11,38,0.342,0
13368,3,9,0.459,0
13400,728,3151,0.764,0
13410,69,244,0.751,0
13419,18,54,0.526,0
13420,760,4181,0.883,0
13428,13,39,0.913,0
13429,14,106,0.473,0
13430,196,890,0.791,0
13440,36,186,0.698,0
13450,254,1029,0.778,0
13456,1,3,-0.0,0
13460,92,342,0.746,0
13500,151,708,0.857,0
13508,167,585,0.843,0
13509,75,298,0.783,0
13510,102,350,0.752,0
13520,68,253,0.776,0
13529,60,384,0.79,0
13530,553,1987,0.796,0
13539,14,42,0.186,0
13540,420,1394,0.756,0
13545,2,11,-0.0,0
13546,128,508,0.751,0
13549,124,399,0.765,0
13550,217,960,0.884,0
13593,6,18,0.626,0
13600,177,588,0.706,0
13610,124,563,0.786,0
13611,1,8,-0.0,0
13625,48,466,0.846,0
13630,95,351,0.752,0
13640,260,834,0.767,0
13690,2,6,-0.0,0
13700,262,1093,0.78,0
13710,194,740,0.792,0
13720,123,416,0.857,0
13728,67,262,0.782,0
13739,2,16,0.5,0
13800,56,1381,0.72,0
13900,1,8,-0.0,0
14000,771,11977,0.844,0
14010,147,3044,0.839,0
14018,1,40,-0.0,0
14020,44,1157,0.833,0
14030,526,3247,0.855,0
14038,1,3,-0.0,0
14039,6,23,0.626,0
14040,114,519,0.806,0
14049,10,219,0.843,0
14050,871,9571,0.69,0
14056,1,175,-0.0,0
14060,123,3256,0.802,0
14070,91,1125,0.832,1
14080,319,5737,0.851,0
14090,145,1263,0.837,0
14091,3,80,0.459,0
14100,2011,7339,0.829,0
14108,117,395,0.775,0
14109,1,8,-0.0,0
14110,138,2400,0.843,0
14120,10,613,0.843,0
14130,2,23,0.5,0
14140,79,1491,0.878,0
14141,8,1856,-0.0,0
14150,21,435,0.85,0
14160,338,1134,0.82,0
14200,912,7207,0.852,0
14201,2,60,0.5,0
14206,1,3,-0.0,0
14208,1,3,-0.0,0
14209,150,921,0.833,0
14210,121,8562,0.824,0
14219,2,11,0.5,0
14220,177,1082,0.857,0
14225,6,35,0.325,0
14229,30,95,0.67,0
14230,248,921,0.821,0
14239,68,231,0.807,0
14240,1168,5196,0.872,0
14248,130,520,0.89,0
14249,7,21,0.432,0
14250,1331,7171,0.854,0
14260,588,3410,0.761,0
14265,4,29,1.0,0
14266,1,3,-0.0,0
14267,45,328,0.804,0
14268,28,187,0.945,0
14269,55,316,0.855,0
14270,61,237,0.881,0
14273,24,77,0.52,0
14275,102,385,0.735,0
14276,9,32,0.496,0
14279,3,9,0.459,0
14300,352,5556,0.726,0
14301,2,6,0.5,0
14308,81,1028,0.694,0
14309,6,35,0.459,0
14310,201,2125,0.824,0
14320,153,683,0.625,0
14324,69,588,0.807,0
14325,66,512,0.76,0
14326,38,165,0.776,0
14327,4,12,0.5,0
14328,1,3,-0.0,0
14330,427,4476,0.805,0
14334,40,189,0.669,0
14335,1,20,-0.0,0
14336,82,455,0.91,0
14337,1,3,-0.0,0
14340,78,1039,0.828,0
14350,15,337,0.643,0
14357,211,1630,0.809,0
14358,22,76,0.885,0
14360,97,463,0.888,0
14370,801,6945,0.934,0
14376,202,1604,0.92,0
14377,12,70,0.777,0
14378,1,8,-0.0,0
14380,190,2108,0.854,0
14385,9,27,0.382,0
14386,1,20,-0.0,0
14387,211,1980,0.872,0
14388,38,299,0.917,0
14389,45,1084,0.785,0
14390,661,5195,0.836,0
14391,2,43,0.5,0
14399,1,40,-0.0,0
14400,925,4731,0.841,0
14406,17,51,0.692,0
14408,64,246,0.904,0
14409,11,33,0.746,0
14410,137,1153,0.893,0
14420,713,4525,0.838,0
14426,59,209,0.845,0
14427,167,589,0.83,0
14429,17,66,0.889,0
14430,361,1459,0.819,0
